id_uf,sigla_uf,nome_uf,ano,indicador_medio,indicador_min,indicador_max,total_municipios,municipios_meta_atingida,matriculas_total,pct_municipios_meta_atingida,variacao_yoy
11,RO,RONDONIA,2021,61.98,42.65,80.75,207,188,562438,90.82,0.0
11,RO,RONDONIA,2022,63.6,41.64,84.08,207,192,562438,92.75,1.62
11,RO,RONDONIA,2023,65.27,36.92,85.96,207,193,562438,93.24,1.67
11,RO,RONDONIA,2024,67.01,36.93,95.05,207,198,562438,95.65,1.74
12,AC,ACRE,2021,60.82,43.51,77.62,207,175,444515,84.54,0.0
12,AC,ACRE,2022,62.22,42.62,83.51,207,182,444515,87.92,1.4
12,AC,ACRE,2023,63.98,39.74,86.68,207,188,444515,90.82,1.76
12,AC,ACRE,2024,65.57,42.14,86.75,207,192,444515,92.75,1.59
13,AM,AMAZONAS,2021,62.38,41.35,81.45,207,187,413328,90.34,0.0
13,AM,AMAZONAS,2022,64.34,43.47,82.64,207,188,413328,90.82,1.96
13,AM,AMAZONAS,2023,66.11,44.48,88.66,207,194,413328,93.72,1.77
13,AM,AMAZONAS,2024,67.34,40.29,95.83,207,196,413328,94.69,1.23
14,RR,RORAIMA,2021,60.86,41.58,81.01,207,174,381359,84.06,0.0
14,RR,RORAIMA,2022,62.45,39.56,85.79,207,180,381359,86.96,1.59
14,RR,RORAIMA,2023,64.21,40.2,88.04,207,183,381359,88.41,1.76
14,RR,RORAIMA,2024,65.89,39.71,92.16,207,188,381359,90.82,1.68
15,PA,PARA,2021,61.13,40.64,79.66,207,179,530807,86.47,0.0
15,PA,PARA,2022,62.79,41.11,87.23,207,184,530807,88.89,1.66
15,PA,PARA,2023,64.17,38.86,93.22,207,189,530807,91.3,1.38
15,PA,PARA,2024,65.46,34.6,93.64,207,192,530807,92.75,1.29
16,AP,AMAPA,2021,60.7,40.88,78.76,207,181,439331,87.44,0.0
16,AP,AMAPA,2022,62.4,44.7,83.07,207,190,439331,91.79,1.7
16,AP,AMAPA,2023,63.77,40.27,85.53,207,193,439331,93.24,1.37
16,AP,AMAPA,2024,65.18,39.77,90.59,207,194,439331,93.72,1.41
17,TO,TOCANTINS,2021,61.39,42.7,82.75,207,187,392018,90.34,0.0
17,TO,TOCANTINS,2022,62.82,43.88,85.08,207,192,392018,92.75,1.43
17,TO,TOCANTINS,2023,64.43,41.42,93.38,207,194,392018,93.72,1.61
17,TO,TOCANTINS,2024,66.06,41.28,93.29,207,192,392018,92.75,1.63
21,MA,MARANHAO,2021,61.11,44.88,77.85,207,181,447936,87.44,0.0
21,MA,MARANHAO,2022,62.22,43.08,81.85,207,187,447936,90.34,1.11
21,MA,MARANHAO,2023,63.66,39.72,86.92,207,192,447936,92.75,1.44
21,MA,MARANHAO,2024,65.33,37.1,89.09,207,196,447936,94.69,1.67
22,PI,PIAUI,2021,62.78,44.18,80.93,206,189,384634,91.75,0.0
22,PI,PIAUI,2022,64.56,42.52,84.1,206,190,384634,92.23,1.78
22,PI,PIAUI,2023,66.14,42.68,88.08,206,197,384634,95.63,1.58
22,PI,PIAUI,2024,67.42,41.47,95.15,206,200,384634,97.09,1.28
23,CE,CEARA,2021,61.8,39.25,80.92,206,180,454441,87.38,0.0
23,CE,CEARA,2022,63.33,40.18,87.08,206,183,454441,88.83,1.53
23,CE,CEARA,2023,64.75,40.69,88.43,206,187,454441,90.78,1.42
23,CE,CEARA,2024,66.04,35.8,90.03,206,189,454441,91.75,1.29
24,RN,RIO GRANDE DO NORTE,2021,61.6,44.46,80.03,206,182,342725,88.35,0.0
24,RN,RIO GRANDE DO NORTE,2022,63.02,39.72,86.12,206,184,342725,89.32,1.42
24,RN,RIO GRANDE DO NORTE,2023,64.41,39.56,91.22,206,190,342725,92.23,1.39
