id_municipio,nome,sigla_uf,id_uf,nome_uf,regiao,ano,indicador_alfabetizacao,meta_municipio,meta_nacional,gap_vs_meta_municipio,gap_vs_meta_nacional,status_meta_municipio,meta_atingida,quantidade_matriculas,PIB_per_capita,IDHM
1100001,MUNICIPIO_RO_1,RO,11,RONDONIA,Norte,2021,57.03,54.53,52.0,2.51,5.03,ATINGIDA,True,6820,90909.29,0.801
1100001,MUNICIPIO_RO_1,RO,11,RONDONIA,Norte,2022,57.83,60.57,56.0,-2.74,1.83,NAO_ATINGIDA,True,6820,90909.29,0.801
1100001,MUNICIPIO_RO_1,RO,11,RONDONIA,Norte,2023,64.07,58.34,60.0,5.73,4.07,ATINGIDA,True,6820,90909.29,0.801
1100001,MUNICIPIO_RO_1,RO,11,RONDONIA,Norte,2024,67.87,65.09,65.0,2.79,2.87,ATINGIDA,True,6820,90909.29,0.801
1200002,MUNICIPIO_AC_2,AC,12,ACRE,Norte,2021,72.2,70.13,52.0,2.07,20.2,ATINGIDA,True,627,29624.15,0.836
1200002,MUNICIPIO_AC_2,AC,12,ACRE,Norte,2022,67.96,71.43,56.0,-3.47,11.96,NAO_ATINGIDA,True,627,29624.15,0.836
1200002,MUNICIPIO_AC_2,AC,12,ACRE,Norte,2023,66.42,73.43,60.0,-7.01,6.42,NAO_ATINGIDA,True,627,29624.15,0.836
1200002,MUNICIPIO_AC_2,AC,12,ACRE,Norte,2024,68.86,75.81,65.0,-6.94,3.86,NAO_ATINGIDA,True,627,29624.15,0.836
1300003,MUNICIPIO_AM_3,AM,13,AMAZONAS,Norte,2021,58.55,59.72,52.0,-1.17,6.55,NAO_ATINGIDA,True,198,77169.6,0.795
1300003,MUNICIPIO_AM_3,AM,13,AMAZONAS,Norte,2022,60.38,59.53,56.0,0.85,4.38,ATINGIDA,True,198,77169.6,0.795
1300003,MUNICIPIO_AM_3,AM,13,AMAZONAS,Norte,2023,60.08,64.1,60.0,-4.02,0.08,NAO_ATINGIDA,True,198,77169.6,0.795
1300003,MUNICIPIO_AM_3,AM,13,AMAZONAS,Norte,2024,60.7,64.88,65.0,-4.18,-4.3,NAO_ATINGIDA,True,198,77169.6,0.795
1400004,MUNICIPIO_RR_4,RR,14,RORAIMA,Norte,2021,50.79,49.39,52.0,1.39,-1.21,ATINGIDA,True,253,53099.68,0.768
1400004,MUNICIPIO_RR_4,RR,14,RORAIMA,Norte,2022,46.41,49.59,56.0,-3.18,-9.59,NAO_ATINGIDA,False,253,53099.68,0.768
1400004,MUNICIPIO_RR_4,RR,14,RORAIMA,Norte,2023,50.12,51.1,60.0,-0.98,-9.88,NAO_ATINGIDA,True,253,53099.68,0.768
1400004,MUNICIPIO_RR_4,RR,14,RORAIMA,Norte,2024,52.14,53.64,65.0,-1.5,-12.86,NAO_ATINGIDA,True,253,53099.68,0.768
1500005,MUNICIPIO_PA_5,PA,15,PARA,Norte,2021,46.47,45.76,52.0,0.71,-5.53,ATINGIDA,False,462,39002.42,0.687
1500005,MUNICIPIO_PA_5,PA,15,PARA,Norte,2022,51.15,49.07,56.0,2.08,-4.85,ATINGIDA,True,462,39002.42,0.687
1500005,MUNICIPIO_PA_5,PA,15,PARA,Norte,2023,53.62,48.73,60.0,4.89,-6.38,ATINGIDA,True,462,39002.42,0.687
1500005,MUNICIPIO_PA_5,PA,15,PARA,Norte,2024,53.96,55.29,65.0,-1.33,-11.04,NAO_ATINGIDA,True,462,39002.42,0.687
1600006,MUNICIPIO_AP_6,AP,16,AMAPA,Norte,2021,67.15,70.48,52.0,-3.33,15.15,NAO_ATINGIDA,True,3352,28493.4,0.872
1600006,MUNICIPIO_AP_6,AP,16,AMAPA,Norte,2022,67.72,71.28,56.0,-3.56,11.72,NAO_ATINGIDA,True,3352,28493.4,0.872
1600006,MUNICIPIO_AP_6,AP,16,AMAPA,Norte,2023,67.78,71.72,60.0,-3.94,7.78,NAO_ATINGIDA,True,3352,28493.4,0.872
1600006,MUNICIPIO_AP_6,AP,16,AMAPA,Norte,2024,68.73,73.79,65.0,-5.07,3.73,NAO_ATINGIDA,True,3352,28493.4,0.872
1700007,MUNICIPIO_TO_7,TO,17,TOCANTINS,Norte,2021,69.47,68.69,52.0,0.78,17.47,ATINGIDA,True,3656,64917.27,0.832
1700007,MUNICIPIO_TO_7,TO,17,TOCANTINS,Norte,2022,69.04,69.69,56.0,-0.66,13.04,NAO_ATINGIDA,True,3656,64917.27,0.832
1700007,MUNICIPIO_TO_7,TO,17,TOCANTINS,Norte,2023,70.43,71.5,60.0,-1.07,10.43,NAO_ATINGIDA,True,3656,64917.27,0.832
1700007,MUNICIPIO_TO_7,TO,17,TOCANTINS,Norte,2024,76.62,73.03,65.0,3.6,11.62,ATINGIDA,True,3656,64917.27,0.832
2100008,MUNICIPIO_MA_8,MA,21,MARANHAO,Nordeste,2021,47.54,48.3,52.0,-0.76,-4.46,NAO_ATINGIDA,False,766,20954.99,0.731
2100008,MUNICIPIO_MA_8,MA,21,MARANHAO,Nordeste,2022,43.08,47.01,56.0,-3.93,-12.92,NAO_ATINGIDA,False,766,20954.99,0.731
