id_municipio,nome,sigla_uf,id_uf,regiao,ano,indicador_lag1,indicador_lag2,tendencia_historica,gap_historico_vs_meta_municipio,gap_historico_vs_meta_nacional,meta_municipio,meta_nacional,quantidade_matriculas,PIB_per_capita,IDHM,indicador_alfabetizacao,meta_atingida,target_meta_atingida
1100001,MUNICIPIO_RO_1,RO,11,Norte,2022,57.03,,,-3.54,1.03,60.57,56.0,6820,90909.29,0.801,57.83,True,1
1100001,MUNICIPIO_RO_1,RO,11,Norte,2023,57.83,57.03,0.8,-0.51,-2.17,58.34,60.0,6820,90909.29,0.801,64.07,True,1
1100001,MUNICIPIO_RO_1,RO,11,Norte,2024,64.07,57.83,6.24,-1.02,-0.93,65.09,65.0,6820,90909.29,0.801,67.87,True,1
1100028,MUNICIPIO_RO_28,RO,11,Norte,2022,74.12,,,0.76,18.12,73.36,56.0,519,44046.52,0.875,74.14,True,1
1100028,MUNICIPIO_RO_28,RO,11,Norte,2023,74.14,74.12,0.02,-1.69,14.14,75.83,60.0,519,44046.52,0.875,73.87,True,1
1100028,MUNICIPIO_RO_28,RO,11,Norte,2024,73.87,74.14,-0.27,-6.86,8.87,80.73,65.0,519,44046.52,0.875,77.92,True,1
1100055,MUNICIPIO_RO_55,RO,11,Norte,2022,54.04,,,0.03,-1.96,54.01,56.0,13233,79609.7,0.758,54.56,True,1
1100055,MUNICIPIO_RO_55,RO,11,Norte,2023,54.56,54.04,0.52,0.32,-5.44,54.24,60.0,13233,79609.7,0.758,49.95,False,0
1100055,MUNICIPIO_RO_55,RO,11,Norte,2024,49.95,54.56,-4.61,-5.48,-15.05,55.43,65.0,13233,79609.7,0.758,48.42,False,0
1100082,MUNICIPIO_RO_82,RO,11,Norte,2022,75.62,,,1.76,19.62,73.86,56.0,177,30628.57,0.853,82.51,True,1
1100082,MUNICIPIO_RO_82,RO,11,Norte,2023,82.51,75.62,6.89,6.59,22.51,75.92,60.0,177,30628.57,0.853,82.17,True,1
1100082,MUNICIPIO_RO_82,RO,11,Norte,2024,82.17,82.51,-0.34,3.92,17.17,78.25,65.0,177,30628.57,0.853,82.5,True,1
1100109,MUNICIPIO_RO_109,RO,11,Norte,2022,69.92,,,-0.85,13.92,70.77,56.0,1274,48153.42,0.84,71.46,True,1
1100109,MUNICIPIO_RO_109,RO,11,Norte,2023,71.46,69.92,1.54,-1.42,11.46,72.88,60.0,1274,48153.42,0.84,77.75,True,1
1100109,MUNICIPIO_RO_109,RO,11,Norte,2024,77.75,71.46,6.29,2.57,12.75,75.18,65.0,1274,48153.42,0.84,76.7,True,1
1100136,MUNICIPIO_RO_136,RO,11,Norte,2022,54.33,,,-2.89,-1.67,57.22,56.0,1539,79723.6,0.763,60.65,True,1
1100136,MUNICIPIO_RO_136,RO,11,Norte,2023,60.65,54.33,6.32,4.19,0.65,56.46,60.0,1539,79723.6,0.763,64.14,True,1
1100136,MUNICIPIO_RO_136,RO,11,Norte,2024,64.14,60.65,3.49,3.84,-0.86,60.3,65.0,1539,79723.6,0.763,69.16,True,1
1100163,MUNICIPIO_RO_163,RO,11,Norte,2022,72.01,,,-1.52,16.01,73.53,56.0,9954,21344.17,0.867,72.46,True,1
1100163,MUNICIPIO_RO_163,RO,11,Norte,2023,72.46,72.01,0.45,-2.21,12.46,74.67,60.0,9954,21344.17,0.867,76.36,True,1
1100163,MUNICIPIO_RO_163,RO,11,Norte,2024,76.36,72.46,3.9,-0.32,11.36,76.68,65.0,9954,21344.17,0.867,73.02,True,1
1100190,MUNICIPIO_RO_190,RO,11,Norte,2022,69.81,,,-2.5,13.81,72.31,56.0,869,89125.93,0.87,65.3,True,1
1100190,MUNICIPIO_RO_190,RO,11,Norte,2023,65.3,69.81,-4.51,-7.59,5.3,72.89,60.0,869,89125.93,0.87,66.98,True,1
1100190,MUNICIPIO_RO_190,RO,11,Norte,2024,66.98,65.3,1.68,-9.36,1.98,76.34,65.0,869,89125.93,0.87,69.31,True,1
1100217,MUNICIPIO_RO_217,RO,11,Norte,2022,78.22,,,4.14,22.22,74.08,56.0,180,15521.05,0.88,76.73,True,1
