sigla_uf,taxa_alfabetizacao_2023,media_portugues_2023,taxa_alfabetizacao_2024,meta_alfabetizacao_2024,gap_2023_para_meta_2024,atingiu_meta_2024
AL,43.88,729.7227,48.63,49.7,-5.82,0
AM,52.2,736.4687,49.17,56.8,-4.599999999999994,0
AP,41.56,732.4277,46.62,47.6,-6.039999999999999,0
BA,36.78,724.8617,35.96,43.4,-6.619999999999997,0
CE,84.46,795.675,85.31,80.0,4.459999999999994,1
ES,67.93,753.7213,71.69,69.9,-1.9699999999999989,1
GO,66.74,752.1505,72.74,68.9,-2.160000000000011,1
MA,56.43,749.9153,59.64,60.3,-3.8699999999999974,0
MG,59.81,751.7099,72.07,63.2,-3.3900000000000006,1
MS,47.45,735.952,55.87,52.8,-5.349999999999994,1
MT,55.03,746.8,60.59,59.2,-4.170000000000002,1
PA,48.38,733.2877,48.2,53.6,-5.219999999999999,0
PB,51.12,741.6011,55.96,55.9,-4.780000000000001,1
PE,58.95,747.4522,60.79,62.4,-3.4499999999999957,0
PI,52.48,744.6583,59.82,57.0,-4.520000000000003,1
PR,73.12,757.2146,70.42,74.2,-1.0799999999999983,0
RJ,52.13,737.3032,55.25,56.7,-4.57,0
RN,37.24,724.8933,39.29,43.8,-6.559999999999995,0
RO,64.6,759.4357,62.62,67.1,-2.5,0
RS,63.43,747.3933,44.67,66.2,-2.770000000000003,0
SC,61.38,747.1144,62.02,64.5,-3.1199999999999974,0
SE,31.3,713.1336,38.39,38.3,-6.9999999999999964,1
SP,51.91,740.387,58.13,56.6,-4.690000000000005,1
TO,43.72,734.2853,50.07,49.5,-5.780000000000001,1
