ano,sigla_uf,rede,taxa_alfabetizacao,meta_alfabetizacao_2024,meta_alfabetizacao_2025,meta_alfabetizacao_2026,meta_alfabetizacao_2027,meta_alfabetizacao_2028,meta_alfabetizacao_2029,meta_alfabetizacao_2030,percentual_participacao
2023,AC,Pública,,,56.9,62.2,67.3,72.0,76.2,80.0,
2023,AL,Pública,43.88,49.7,55.5,61.1,66.5,71.5,76.0,80.0,92.36
2023,AM,Pública,52.2,56.8,61.3,65.6,69.6,73.4,76.9,80.0,76.14
2023,AP,Pública,41.56,47.6,53.8,59.9,65.6,70.9,75.8,80.0,89.68
2023,BA,Pública,36.8,43.4,50.2,57.1,63.6,69.8,75.2,80.0,84.53
2023,CE,Pública,84.5,80.0,80.0,80.0,80.0,80.0,80.0,80.0,95.22
2023,DF,Pública,,,63.1,67.0,70.6,74.0,77.1,80.0,
2023,ES,Pública,67.93,69.9,71.8,73.6,75.3,76.9,78.5,80.0,88.4
2023,GO,Pública,66.7,68.9,71.0,73.0,74.9,76.7,78.4,80.0,87.03
2023,MA,Pública,56.43,60.3,64.1,67.7,71.2,74.3,77.3,80.0,89.11
2023,MG,Pública,59.81,63.2,66.4,69.5,72.4,75.1,77.6,80.0,89.59
2023,MS,Pública,47.45,52.8,58.0,63.1,67.9,72.3,76.4,80.0,87.95
2023,MT,Pública,55.06,59.2,63.2,67.0,70.7,74.0,77.2,80.0,87.47
2023,PA,Pública,48.4,53.6,58.7,63.6,68.2,72.5,76.5,80.0,80.55
2023,PB,Pública,51.12,55.9,60.5,65.0,69.2,73.2,76.8,80.0,88.22
2023,PE,Pública,59.0,62.4,65.8,69.0,72.1,74.9,77.6,80.0,91.93
2023,PI,Pública,52.48,57.0,61.5,65.7,69.7,73.5,76.9,80.0,93.37
2023,PR,Pública,73.12,74.2,75.2,76.2,77.2,78.2,79.1,80.0,86.18
2023,RJ,Pública,52.13,56.7,61.2,65.5,69.6,73.4,76.9,80.0,81.21
2023,RN,Pública,37.24,43.8,50.6,57.3,63.8,69.9,75.3,80.0,78.55
2023,RO,Pública,64.6,67.1,69.5,71.9,74.1,76.2,78.1,80.0,88.1
2023,RR,Pública,,,,,,,,,
2023,RS,Pública,63.4,66.2,68.8,71.3,73.7,75.9,78.0,80.0,81.44
2023,SC,Pública,61.38,64.5,67.4,70.2,72.9,75.4,77.8,80.0,78.6
2023,SE,Pública,31.3,38.3,45.9,53.6,61.2,68.3,74.6,80.0,88.34
2023,SP,Pública,51.91,56.6,61.1,65.4,69.5,73.3,76.8,80.0,88.75
2023,TO,Pública,43.72,49.5,55.4,61.1,66.5,71.5,76.0,80.0,83.91
2024,AC,Pública,51.38,,56.9,62.2,67.3,72.0,76.2,80.0,80.87
2024,AL,Pública,48.63,49.7,55.5,61.1,66.5,71.5,76.0,80.0,93.78
2024,AM,Pública,49.17,56.8,61.3,65.6,69.6,73.4,76.9,80.0,79.49
2024,AP,Pública,46.62,47.6,53.8,59.9,65.6,70.9,75.8,80.0,89.14
2024,BA,Pública,35.96,43.4,50.2,57.1,63.6,69.8,75.2,80.0,90.04
2024,CE,Pública,85.31,80.0,80.0,80.0,80.0,80.0,80.0,80.0,98.13
2024,DF,Pública,59.13,,63.1,67.0,70.6,74.0,77.1,80.0,79.83
2024,ES,Pública,71.69,69.9,71.8,73.6,75.3,76.9,78.5,80.0,89.94
2024,GO,Pública,72.74,68.9,71.0,73.0,74.9,76.7,78.4,80.0,92.08
2024,MA,Pública,59.64,60.3,64.1,67.7,71.2,74.3,77.3,80.0,90.89
2024,MG,Pública,72.07,63.2,66.4,69.5,72.4,75.1,77.6,80.0,88.85
2024,MS,Pública,55.87,52.8,58.0,63.1,67.9,72.3,76.4,80.0,90.04
2024,MT,Pública,60.59,59.2,63.2,67.0,70.7,74.0,77.2,80.0,88.46
2024,PA,Pública,48.2,53.6,58.7,63.6,68.2,72.5,76.5,80.0,83.21
2024,PB,Pública,55.96,55.9,60.5,65.0,69.2,73.2,76.8,80.0,88.29
2024,PE,Pública,60.79,62.4,65.8,69.0,72.1,74.9,77.6,80.0,94.75
2024,PI,Pública,59.82,57.0,61.5,65.7,69.7,73.5,76.9,80.0,95.09
2024,PR,Pública,70.42,74.2,75.2,76.2,77.2,78.2,79.1,80.0,86.25
2024,RJ,Pública,55.25,56.7,61.2,65.5,69.6,73.4,76.9,80.0,83.12
2024,RN,Pública,39.29,43.8,50.6,57.3,63.8,69.9,75.3,80.0,77.72
2024,RO,Pública,62.62,67.1,69.5,71.9,74.1,76.2,78.1,80.0,88.33
2024,RR,Pública,,,,,,,,,
2024,RS,Pública,44.67,66.2,68.8,71.3,73.7,75.9,78.0,80.0,82.86
2024,SC,Pública,62.02,64.5,67.4,70.2,72.9,75.4,77.8,80.0,70.05
2024,SE,Pública,38.39,38.3,45.9,53.6,61.2,68.3,74.6,80.0,92.84
2024,SP,Pública,58.13,56.6,61.1,65.4,69.5,73.3,76.8,80.0,89.12
2024,TO,Pública,50.07,49.5,55.4,61.1,66.5,71.5,76.0,80.0,85.15
2025,AC,Pública,68.0,,57.0,62.0,67.0,72.0,76.0,80.0,82.0
2025,AL,Pública,64.0,50.0,56.0,61.0,67.0,72.0,76.0,80.0,94.0
2025,AM,Pública,57.0,57.0,61.0,66.0,70.0,73.0,77.0,80.0,86.0
2025,AP,Pública,60.0,48.0,54.0,60.0,66.0,71.0,76.0,80.0,88.0
2025,BA,Pública,55.0,43.0,50.0,57.0,64.0,70.0,75.0,80.0,87.0
2025,CE,Pública,84.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,96.0
2025,DF,Pública,65.0,,63.0,67.0,71.0,74.0,77.0,80.0,85.0
2025,ES,Pública,77.0,70.0,72.0,74.0,75.0,77.0,79.0,80.0,92.0
2025,GO,Pública,80.0,69.0,71.0,73.0,75.0,77.0,78.0,80.0,88.0
2025,MA,Pública,69.0,60.0,64.0,68.0,71.0,74.0,77.0,80.0,92.0
2025,MG,Pública,74.0,63.0,66.0,70.0,72.0,75.0,78.0,80.0,89.0
2025,MS,Pública,66.0,53.0,58.0,63.0,68.0,72.0,76.0,80.0,92.0
2025,MT,Pública,75.0,59.0,63.0,67.0,71.0,74.0,77.0,80.0,94.0
2025,PA,Pública,58.0,54.0,59.0,64.0,68.0,73.0,77.0,80.0,87.0
2025,PB,Pública,71.0,56.0,61.0,65.0,69.0,73.0,77.0,80.0,90.0
2025,PE,Pública,66.0,62.0,66.0,69.0,72.0,75.0,78.0,80.0,93.0
2025,PI,Pública,77.0,57.0,62.0,66.0,70.0,74.0,77.0,80.0,94.0
2025,PR,Pública,80.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,87.0
2025,RJ,Pública,60.0,57.0,61.0,66.0,70.0,73.0,77.0,80.0,83.0
2025,RN,Pública,48.0,44.0,51.0,57.0,64.0,70.0,75.0,80.0,85.0
2025,RO,Pública,75.0,67.0,70.0,72.0,74.0,76.0,78.0,80.0,79.0
2025,RR,Pública,57.0,,,62.33,67.36,72.01,76.24,80.0,82.0
2025,RS,Pública,52.0,66.0,69.0,71.0,74.0,76.0,78.0,80.0,86.0
2025,SC,Pública,59.0,65.0,67.0,70.0,73.0,75.0,78.0,80.0,87.0
2025,SE,Pública,50.0,38.0,46.0,54.0,61.0,68.0,75.0,80.0,87.0
2025,SP,Pública,61.0,57.0,61.0,65.0,70.0,73.0,77.0,80.0,89.0
2025,TO,Pública,61.0,50.0,55.0,61.0,67.0,72.0,76.0,80.0,89.0
