sigla_uf,taxa_alfabetizacao,media_portugues,cluster
GO,72.74,759.01,0
MG,72.07,758.22,0
ES,71.69,758.52,0
PR,70.42,754.66,0
RO,62.62,745.52,0
SC,62.02,750.1,0
PE,60.79,747.31,0
MT,60.59,753.3,0
PI,59.82,754.81,0
MA,59.64,745.75,0
SP,58.13,749.8962,0
PB,55.96,750.7,0
MS,55.87,740.99,1
RJ,55.25,738.9,1
AC,51.38,739.15,1
TO,50.07,742.86,1
AM,49.17,734.12,1
AL,48.63,735.51,1
PA,48.2,732.94,1
AP,46.62,739.83,1
RS,44.67,734.2547,1
RN,39.29,730.44,1
SE,38.39,723.56,1
BA,35.96,725.58,1
CE,85.31,797.29,2
