sigla_uf,taxa_alfabetizacao_2024,meta_alfabetizacao_2024,atingiu_meta_2024,score_atingimento_oof_experimental,score_nao_atingimento_experimental,predicao_oof,gap_observado_2024
SE,38.39,38.3,1,0.08541200859800262,0.9145879914019974,0,0.09000000000000341
GO,72.74,68.9,1,0.3142169792894733,0.6857830207105267,0,3.839999999999989
RJ,55.25,56.7,0,0.32574925063018,0.67425074936982,0,-1.4500000000000028
MS,55.87,52.8,1,0.3757336157500753,0.6242663842499248,0,3.0700000000000003
AM,49.17,56.8,0,0.398845221248767,0.601154778751233,0,-7.6299999999999955
RS,44.67,66.2,0,0.4436295293015237,0.5563704706984762,0,-21.53
AL,48.63,49.7,0,0.4445268765825996,0.5554731234174004,0,-1.0700000000000003
SC,62.02,64.5,0,0.47069173622409427,0.5293082637759057,0,-2.479999999999997
PA,48.2,53.6,0,0.47314240160405713,0.5268575983959429,0,-5.399999999999999
SP,58.13,56.6,1,0.4902969933106416,0.5097030066893584,0,1.5300000000000011
PE,60.79,62.4,0,0.4960792040401469,0.5039207959598531,0,-1.6099999999999994
PB,55.96,55.9,1,0.49800474567398284,0.5019952543260171,0,0.060000000000002274
ES,71.69,69.9,1,0.5154748640475413,0.4845251359524587,1,1.789999999999992
PR,70.42,74.2,0,0.5164990617358796,0.48350093826412044,1,-3.780000000000001
MT,60.59,59.2,1,0.534112200551712,0.46588779944828795,1,1.3900000000000006
MG,72.07,63.2,1,0.5436198563672306,0.45638014363276935,1,8.86999999999999
AP,46.62,47.6,0,0.5449217531830537,0.4550782468169463,1,-0.980000000000004
RO,62.62,67.1,0,0.583337944727032,0.41666205527296796,1,-4.479999999999997
PI,59.82,57.0,1,0.5893860058162966,0.41061399418370337,1,2.8200000000000003
RN,39.29,43.8,0,0.6196302795013786,0.3803697204986214,1,-4.509999999999998
TO,50.07,49.5,1,0.627184122869989,0.37281587713001096,1,0.5700000000000003
BA,35.96,43.4,0,0.63355222019641,0.36644777980359,1,-7.439999999999998
MA,59.64,60.3,0,0.6768401250278921,0.32315987497210785,1,-0.6599999999999966
CE,85.31,80.0,1,0.7059862981109509,0.2940137018890491,1,5.310000000000002
